ESTADO,PERBASE,COD_PERIODO,COD_UTP,NIVEL,SUBNIVEL,FACULTAD,NOMBRE,DURACION_SEMESTRES,PERIODOS,CANTIDAD
3. Cambio de programa,29,2020-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,201 a 202,3
1. No matriculado,30,2020-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,202 a 211,93
2. Permanece programa,30,2020-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,202 a 211,42
4. Graduado,30,2020-2,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,202 a 211,2
3. Cambio de programa,31,2021-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,211 a 212,1
1. No matriculado,21,2016-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,161 a 162,1
2. Permanece programa,22,2016-2,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,162 a 171,32
4. Graduado,22,2016-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,162 a 171,58
1. No matriculado,22,2016-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,162 a 171,74
1. No matriculado,22,2016-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,162 a 171,3
4. Graduado,23,2017-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,171 a 172,58
4. Graduado,23,2017-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,171 a 172,9
4. Graduado,23,2017-1,DV,Posgrado,Doctorado,Ingeniería,Doctorado en Ingeniería,7,171 a 172,4
4. Graduado,24,2017-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,172 a 181,15
1. No matriculado,24,2017-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,172 a 181,75
4. Graduado,25,2018-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,181 a 182,13
1. No matriculado,27,2019-1,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,191 a 192,14
4. Graduado,27,2019-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,191 a 192,8
1. No matriculado,30,2020-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,202 a 211,6
1. No matriculado,1,2006-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,061 a 062,23
2. Permanece programa,1,2006-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,061 a 062,161
4. Graduado,1,2006-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,061 a 062,6
1. No matriculado,4,2007-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,072 a 081,68
2. Permanece programa,5,2008-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,081 a 082,39
4. Graduado,2,2006-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,062 a 071,5
2. Permanece programa,4,2007-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,072 a 081,602
4. Graduado,5,2008-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,081 a 082,54
2. Permanece programa,6,2008-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,082 a 091,608
1. No matriculado,8,2009-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,092 a 101,63
1. No matriculado,10,2010-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,102 a 111,16
1. No matriculado,28,2019-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,192 a 201,9
1. No matriculado,29,2020-1,FI,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Diurna),10,201 a 202,12
4. Graduado,30,2020-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,202 a 211,71
3. Cambio de programa,30,2020-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,202 a 211,9
3. Cambio de programa,31,2021-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,211 a 212,4
4. Graduado,2,2006-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,062 a 071,36
1. No matriculado,2,2006-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,062 a 071,4
2. Permanece programa,3,2007-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,071 a 072,219
3. Cambio de programa,3,2007-1,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,071 a 072,7
2. Permanece programa,8,2009-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,092 a 101,31
1. No matriculado,13,2012-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,121 a 122,11
2. Permanece programa,13,2012-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,121 a 122,231
1. No matriculado,11,2011-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,111 a 112,59
1. No matriculado,12,2011-2,AY,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería de Sistemas y Computación,4,112 a 121,37
2. Permanece programa,15,2013-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,131 a 132,759
1. No matriculado,15,2013-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,131 a 132,12
4. Graduado,15,2013-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,131 a 132,6
4. Graduado,17,2014-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,141 a 142,17
2. Permanece programa,17,2014-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,141 a 142,7
3. Cambio de programa,4,2007-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,072 a 081,8
3. Cambio de programa,6,2008-2,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,082 a 091,8
1. No matriculado,8,2009-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,092 a 101,12
4. Graduado,10,2010-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,102 a 111,53
3. Cambio de programa,10,2010-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,102 a 111,11
2. Permanece programa,11,2011-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,111 a 112,534
2. Permanece programa,11,2011-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,111 a 112,209
2. Permanece programa,13,2012-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,121 a 122,543
1. No matriculado,13,2012-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,121 a 122,48
4. Graduado,15,2013-1,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,131 a 132,47
4. Graduado,15,2013-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,131 a 132,17
2. Permanece programa,20,2015-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,152 a 161,215
2. Permanece programa,18,2014-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,142 a 151,198
2. Permanece programa,18,2014-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,142 a 151,237
4. Graduado,18,2014-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,142 a 151,14
4. Graduado,19,2015-1,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,151 a 152,77
4. Graduado,21,2016-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,161 a 162,27
2. Permanece programa,23,2017-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,171 a 172,284
2. Permanece programa,24,2017-2,36,Pregrado,Profesional,Ingeniería,Ingeniería Electrónica (Nocturno),10,172 a 181,128
1. No matriculado,24,2017-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,172 a 181,82
3. Cambio de programa,13,2012-1,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,121 a 122,23
1. No matriculado,15,2013-1,AZ,Posgrado,Especialización,Ingeniería,Especialización en Redes de Datos,2,131 a 132,1
2. Permanece programa,16,2013-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,132 a 141,609
3. Cambio de programa,16,2013-2,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,132 a 141,1
3. Cambio de programa,16,2013-2,28,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación,10,132 a 141,7
4. Graduado,17,2014-1,47,Posgrado,Maestría,Ingeniería,Maestría en Ingeniería Eléctrica,4,141 a 142,16
4. Graduado,18,2014-2,12,Pregrado,Profesional,Ingeniería,Ingeniería Eléctrica,10,142 a 151,28
1. No matriculado,19,2015-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,151 a 152,51
3. Cambio de programa,19,2015-1,37,Pregrado,Profesional,Ingeniería,Ingeniería de Sistemas y Computación (Nocturno),12,151 a 152,4
4. Graduado,20,2015-2,34,Pregrado,Profesional,Ingeniería,Ingeniería Física,10,152 a 161,28
