CANTIDAD,COD_PERIODO,IDPER,COD_UTP,ESTADO,FACULTAD
25,2007-1,12,12,MATRICULADO,Ingeniería
38,2006-2,10,12,NO MATRICULADO,Ingeniería
21,2012-1,1,36,NO MATRICULADO,Ingeniería
50,2014-1,15,34,NO MATRICULADO,Ingeniería
33,2010-1,6,12,NO MATRICULADO,Ingeniería
33,2010-2,2,36,NO MATRICULADO,Ingeniería
18,2019-1,5,FI,NO MATRICULADO,Ingeniería
7,2013-2,13,AZ,GRADUADO,Ingeniería
14,2015-1,12,36,MATRICULADO,Ingeniería
13,2008-2,25,36,GRADUADO,Ingeniería
39,2017-1,5,34,MATRICULADO,Ingeniería
5,2011-2,12,AY,GRADUADO,Ingeniería
35,2015-1,7,34,NO MATRICULADO,Ingeniería
27,2013-1,11,12,MATRICULADO,Ingeniería
11,2008-2,19,36,GRADUADO,Ingeniería
12,2007-2,21,36,GRADUADO,Ingeniería
3,2011-2,11,AY,GRADUADO,Ingeniería
3,2010-2,17,47,NO MATRICULADO,Ingeniería
43,2006-1,25,12,NO MATRICULADO,Ingeniería
36,2008-1,10,12,NO MATRICULADO,Ingeniería
36,2010-1,8,28,NO MATRICULADO,Ingeniería
35,2009-2,9,28,MATRICULADO,Ingeniería
20,2009-1,15,28,GRADUADO,Ingeniería
15,2014-1,1,34,NO MATRICULADO,Ingeniería
12,2006-2,1,12,NO MATRICULADO,Ingeniería
30,2006-1,31,28,GRADUADO,Ingeniería
59,2007-1,5,37,NO MATRICULADO,Ingeniería
25,2011-2,2,12,NO MATRICULADO,Ingeniería
30,2010-1,4,28,NO MATRICULADO,Ingeniería
38,2014-2,13,37,NO MATRICULADO,Ingeniería
62,2009-1,15,34,NO MATRICULADO,Ingeniería
6,2010-1,11,34,GRADUADO,Ingeniería
7,2008-1,12,36,GRADUADO,Ingeniería
12,2006-1,13,36,GRADUADO,Ingeniería
43,2006-1,15,36,NO MATRICULADO,Ingeniería
38,2012-1,3,34,MATRICULADO,Ingeniería
48,2012-1,3,34,NO MATRICULADO,Ingeniería
22,2014-1,1,37,NO MATRICULADO,Ingeniería
5,2010-2,7,AZ,GRADUADO,Ingeniería
46,2009-1,5,12,MATRICULADO,Ingeniería
52,2015-1,7,12,MATRICULADO,Ingeniería
7,2009-1,21,47,NO MATRICULADO,Ingeniería
