Programa,Femenino,Masculino,Año
Ingeniería de Sistemas y Computación,89,667,2017-2
Ingeniería de Sistemas y Computación (Básicos ingeniería),13,15,2017-2
Ingeniería de Sistemas y Computación (Convenio Cuba),12,29,2017-2
Ingeniería de Sistemas y Computación (Nocturno),47,231,2017-2
Ingeniería Electrónica (Diurna),21,100,2018-1
Ingeniería Electrónica (Nocturno),14,126,2018-1
Ingeniería Eléctrica,185,814,2018-1
Ingeniería Eléctrica (Básicos ingeniería),4,14,2018-1
Ingeniería Física,132,228,2018-1
Ingeniería Física (Básicos ingenieria),7,7,2018-1
Ingeniería de Sistemas y Computación,92,667,2018-1
Ingeniería de Sistemas y Computación (Básicos ingeniería),13,11,2018-1
Ingeniería de Sistemas y Computación (Convenio Cuba),11,29,2018-1
Ingeniería de Sistemas y Computación (Nocturno),48,229,2018-1
Ingeniería Electrónica (Diurna),21,104,2018-2
Ingeniería Electrónica (Nocturno),13,107,2018-2
Ingeniería Eléctrica,178,792,2018-2
Ingeniería Eléctrica (Básicos ingeniería),4,14,2018-2
Ingeniería Física,133,218,2018-2
Ingeniería Física (Básicos ingenieria),7,6,2018-2
Ingeniería de Sistemas y Computación,85,668,2018-2
Ingeniería de Sistemas y Computación (Básicos ingeniería),12,10,2018-2
Ingeniería de Sistemas y Computación (Convenio Cuba),10,27,2018-2
Ingeniería de Sistemas y Computación (Nocturno),41,190,2018-2
Ingeniería Electrónica (Diurna),34,144,2019-1
Ingeniería Electrónica (Nocturno),4,96,2019-1
Ingeniería Eléctrica,164,798,2019-1
Ingeniería Física,132,215,2019-1
Ingeniería de Sistemas y Computación,93,658,2019-1
Ingeniería de Sistemas y Computación (Convenio Cuba),9,28,2019-1
Ingeniería de Sistemas y Computación (Nocturno),43,242,2019-1
Tecnología en Desarrollo de Software,2,30,2019-1
Ingeniería Electrónica (Diurna),33,139,2019-2
Ingeniería Electrónica (Nocturno),1,87,2019-2
Ingeniería Eléctrica,159,771,2019-2
Ingeniería Física,129,219,2019-2
Ingeniería de Sistemas y Computación,94,648,2019-2
Ingeniería de Sistemas y Computación (Convenio Cuba),9,25,2019-2
Ingeniería de Sistemas y Computación (Nocturno),44,236,2019-2
Tecnología en Desarrollo de Software,2,21,2019-2
Ingeniería Electrónica (Diurna),34,191,2020-1
Ingeniería Electrónica (Nocturno),1,74,2020-1
Ingeniería Eléctrica,160,775,2020-1
Ingeniería Física,131,228,2020-1
Ingeniería de Sistemas y Computación,102,668,2020-1
Ingeniería de Sistemas y Computación (Convenio Cuba),8,23,2020-1
Ingeniería de Sistemas y Computación (Nocturno),51,267,2020-1
Tecnología en Desarrollo de Software,5,45,2020-1
Ingeniería Electrónica (Diurna),38,208,2020-2
Ingeniería Electrónica (Nocturno),1,55,2020-2
Ingeniería Eléctrica,164,835,2020-2
Ingeniería Física,142,230,2020-2
Ingeniería de Sistemas y Computación,113,700,2020-2
Ingeniería de Sistemas y Computación (Convenio Cuba),8,23,2020-2
Ingeniería de Sistemas y Computación (Nocturno),61,284,2020-2
Tecnología en Desarrollo de Software,4,36,2020-2
Ingeniería Electrónica (Diurna),44,245,2021-1
Ingeniería Electrónica (Nocturno),1,46,2021-1
Ingeniería Eléctrica,160,789,2021-1
Ingeniería Física,136,211,2021-1
Ingeniería de Sistemas y Computación,110,689,2021-1
Ingeniería de Sistemas y Computación (Convenio Cuba),8,22,2021-1
Ingeniería de Sistemas y Computación (Nocturno),60,273,2021-1
Tecnología en Desarrollo de Software,3,25,2021-1
Ingeniería Electrónica (Diurna),41,258,2021-2
Ingeniería Electrónica (Nocturno),1,34,2021-2
Ingeniería Eléctrica,164,792,2021-2
Ingeniería Física,128,213,2021-2
Ingeniería de Sistemas y Computación,108,719,2021-2
Ingeniería de Sistemas y Computación (Nocturno),69,313,2021-2
Tecnología en Desarrollo de Software,6,58,2021-2
