COD_PERIODO,COD_UTP,ESTUDIANTES,ESTRATO,SEXO,TIPO_INSCRIPCION,TIPO_COLEGIO,VAR,FECHA_ACTUALIZACION,FACULTAD
2011-2,AY,3,IV,Masculino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2012-1,12,2,I,Masculino,Desplazado,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2010-2,12,28,III,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,28,1,I,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,34,2,I,Femenino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-1,12,1,V,Masculino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2011-1,36,6,IV,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2011-1,37,8,III,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-1,AY,4,II,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,12,1,IV,Masculino,Marsella,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2011-2,28,1,I,Femenino,Quinchia,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,28,2,III,Femenino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2011-2,36,1,I,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,37,1,VI,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,37,2,IV,Masculino,,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2011-2,37,5,III,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2012-1,28,2,II,Masculino,Balboa,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-2,37,5,I,Masculino,Fuera De Risaralda,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,28,1,I,Masculino,,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2010-1,28,1,V,Masculino,,Privado,Graduado,09/16/2021 00:00:00,Ingeniería
2010-1,36,1,II,Masculino,,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
