Programa,Semestre,MenorA17,Edad18,Edad19,MenorA17,Edad20,Edad21,Edad22,Edad23,Edad24,Edad25,MayorA26MenorA31,MayorA31,Total
Ingeniería de Sistemas y Computación (Nocturno),2015-2,,,,,,,,,,,5,13,18
Ingeniería Electrónica (Nocturno),2014-1,7,12,,,,,,,,,7,12,19
Ingeniería Eléctrica,2014-1,9,21,,,,,,,,,9,21,30
Ingeniería Física,2014-1,9,4,,,,,,,,,9,4,13
Ingeniería de Sistemas y Computación,2014-1,11,18,,,,,,,,,11,18,29
Ingeniería de Sistemas y Computación (Nocturno),2014-1,,17,,,,,,,,,,17,17
Ingeniería Electrónica (Nocturno),2014-2,,9,,,,,,,,,,9,9
Ingeniería Eléctrica,2014-2,8,5,,,,,,,,,8,5,13
Ingeniería Física,2014-2,5,6,,,,,,,,,5,6,11
Ingeniería de Sistemas y Computación,2014-2,13,16,,,,,,,,,13,16,29
Ingeniería de Sistemas y Computación (Nocturno),2014-2,1,14,,,,,,,,,1,14,15
Ingeniería Electrónica (Nocturno),2013-1,,4,,,,,,,,,,4,4
Ingeniería Eléctrica,2013-1,3,7,,,,,,,,,3,7,10
Ingeniería Física,2013-1,3,,,,,,,,,,3,,3
Ingeniería de Sistemas y Computación,2013-1,2,13,,,,,,,,,2,13,15
Ingeniería de Sistemas y Computación (Nocturno),2013-1,,7,,,,,,,,,,7,7
Ingeniería Electrónica (Nocturno),2013-2,,,,,,,,,,,6,19,25
Ingeniería Eléctrica,2013-2,,,,,,,,,,,14,33,47
Ingeniería Física,2013-2,,,,,,,,,,,5,7,12
Ingeniería de Sistemas y Computación,2013-2,,,,,,,,,,,26,35,61
Ingeniería de Sistemas y Computación (Nocturno),2013-2,,,,,,,,,,,,13,13
Ingeniería Electrónica (Nocturno),2012-1,,,,,,,,,,,,17,17
Ingeniería Eléctrica,2012-1,,,,,,,,,,,2,24,26
Ingeniería Física,2012-1,,,,,,,,,,,,6,6
Ingeniería de Sistemas y Computación,2012-1,,,,,,,,,,,2,17,19
Ingeniería de Sistemas y Computación (Nocturno),2012-1,,,,,,,,,,,,2,2
Ingeniería Electrónica (Nocturno),2012-2,,,,,,,,,,,2,23,25
Ingeniería Eléctrica,2012-2,,,,,,,,,,,6,29,35
Ingeniería Física,2012-2,,,,,,,,,,,2,11,13
Ingeniería de Sistemas y Computación,2012-2,,,,,,,,,,,9,53,62
Ingeniería de Sistemas y Computación (Nocturno),2012-2,,,,,,,,,,,,20,20
Ingeniería Electrónica (Nocturno),2011-1,,,,,,,,,,,,3,3
Ingeniería Eléctrica,2011-1,,,,,,,,,,,1,13,14
Ingeniería Física,2011-1,,,,,,,,,,,,7,7
Ingeniería de Sistemas y Computación,2011-1,,,,,,,,,,,,14,14
Ingeniería de Sistemas y Computación (Nocturno),2011-1,,,,,,,,,,,,1,1
Ingeniería Electrónica (Nocturno),2011-2,,,,,,,,,,,,22,22
Ingeniería Eléctrica,2011-2,,,,,,,,,,,1,44,45
Ingeniería Física,2011-2,,,,,,,,,,,,8,8
Ingeniería de Sistemas y Computación,2011-2,,,,,,,,,,,1,80,81
Ingeniería de Sistemas y Computación (Nocturno),2011-2,,,,1,,,,,,,,24,25
Ingeniería Electrónica (Nocturno),2010-1,,,,,,,,,,,,4,4
Ingeniería Eléctrica,2010-1,,,,,,,,,,,,21,21
Ingeniería Física,2010-1,,,,,,,,,,,,7,7
Ingeniería de Sistemas y Computación,2010-1,,,,,,,,,,,,22,22
Ingeniería Electrónica (Nocturno),2010-2,,,,,,,,,,,,5,5
Ingeniería Eléctrica,2010-2,,,,1,,,,,,,,62,63
Ingeniería Física,2010-2,,,,,,,,,,,,22,22
Ingeniería de Sistemas y Computación,2010-2,,,,,,,,,,,,44,44
Ingeniería de Sistemas y Computación (Nocturno),2010-2,,,,,,,,,,,,2,2
