Codigo,Asignatura,Matriculadas,Aprobado,Reprobado,Cancelada,PorcentajeAprobado,PorcentajeReprobado,PorcentajeCancelado,Semestre,ProgramaAcademico
IE02E,SUBESTACIONES ELÉCTRICAS,28,20,0,8,0.71,0.00,0.29,2019-1,Ingeniería Eléctrica 
IE642,CIRCUITOS ELÉCTRICOS II,65,36,19,10,0.55,0.29,0.15,2019-1,Ingeniería Eléctrica 
IE533,GENERACIÓN DE ENERGÍA ELÉCTRICA,73,47,6,20,0.64,0.08,0.27,2019-1,Ingeniería Eléctrica 
UVMA2,PRODUCCIÓN Y CONSUMO SUSTENTABLE,10,9,1,0,0.90,0.10,0.00,2019-1,Ingeniería Eléctrica 
BA007,CRÓNICA. MEMORIA Y CONFLICTO ARMADO,7,2,0,5,0.29,0.00,0.71,2019-1,Ingeniería Eléctrica 
BA008,EMPRENDIMIENTO CULTURAL,2,1,0,1,0.50,0.00,0.50,2019-1,Ingeniería Eléctrica 
BA372,HUMANIDADES II,1,1,0,0,1.00,0.00,0.00,2019-1,Ingeniería Eléctrica 
IE041,LABORATORIO DE AUTOMATIZACIÓN INDUSTRIAL,71,65,1,5,0.92,0.01,0.07,2019-1,Ingeniería Eléctrica 
IE322,DIBUJO PARA INGENIERÍA,112,81,9,22,0.72,0.08,0.20,2019-1,Ingeniería Eléctrica 
IE742,LABORATORIO DE ELECTRÓNICA ANÁLOGA Y DIGITAL,83,74,0,9,0.89,0.00,0.11,2019-1,Ingeniería Eléctrica 
